| M01-F01-01 | 部门管理 | 新增 | 新增部门，支持上级部门选择，构建多级组织树 | ✅ |
| M03-F01-01 | 表单设计器 | 拖拽设计 | 可视化拖拽设计表单，栅格布局（P46 已由 P56 完成核销，2026-09-02：24 列网格布局、拖动排序与紧凑重排、宽度调整、全链一致） | ✅ |
| M03-F01-02 | 表单设计器 | 控件库 | 单行/多行文本、数字、下拉、单选、多选、日期、附件、图片、子表单、关联查询、说明文字等控件（v0.0.2-oa A5 已交付多选/附件/图片/说明文字四控件子集；子表单、关联查询等仍缺） | 🟦 |
| M03-F02-01 | 表单管理 | 维护 | 表单新增/修改/删除/查询、发布、版本管理 | 🟦 |
| M03-F03-01 | 表单规则 | 联动校验 | 字段显隐联动、必填/格式校验、默认值、计算公式（v0.0.2-oa A5 已交付显隐联动、默认值、必填/校验；计算公式仍缺） | 🟦 |
| M03-F04-01 | 数据管理 | 增删改查 | 表单业务数据的增删改查、列表配置、查询条件配置 | 🟦 |
| M03-F04-02 | 数据管理 | 导入导出 | 表单数据 Excel 导入与导出（P32 已完成） | ✅ |
| M03-F05-01 | 数据源 | 数据字典 | 下拉/级联数据来源于数据字典或外部数据源 | 🟦 |
| M03-F06-01 | 打印模板 | 套打配置 | 配置打印/套打模板，支持导出 PDF（缺口已登记 P33） | ⬜ |
| M04-F01-01 | 流程设计器 | 拖拽设计 | 基于 BPMN 可视化设计流程，支持审批、条件分支、并行网关、子流程（缺口已登记 P47） | 🟦 |
| M04-F01-02 | 流程设计器 | 节点配置 | 节点审批人配置：指定人/角色/岗位/部门主管/上级/表单字段/发起人自选 | 🟦 |
| M04-F01-03 | 流程设计器 | 会签规则 | 会签/或签、通过比例、票否决等规则配置（P58 已实现 ALL/ANY/RATIO 会签结算、独立意见与取消语义；原明细完整规则含一票否决覆盖待确认，P34 部分实现、未核销） | 🟦 |
| M04-F02-01 | 流程定义 | 维护 | 流程部署、版本管理、挂起/激活 | 🟦 |
| M04-F03-01 | 流程发起 | 发起 | 绑定表单发起流程实例 | ✅ |
| M04-F04-01 | 流程审批 | 审批操作 | 同意/驳回（驳回到指定节点）/转办/委托/加签/抢办/撤回/终止 | 🟦 |
| M04-F05-01 | 待办中心 | 任务处理 | 待办、已办、我发起的、抄送我的，催办提醒（✅ 2026-09-07 v0.0.2-oa 第 43 个正式功能：P4 子集交付四入口=我发起的/我的草稿/我的待办/我的已办（真实历史过滤+确定性分页）、普通可靠异步与 P0 单次同步（flowStart 回查）、同意图幂等；v0.0.2-oa 补齐流程中心分类与双视角、抄送我的查询、催办入口，覆盖本明细完整描述；P4 总项仍开放未核销：转办/委托/加签/撤回、流程版本/挂起激活等候选） | ✅ |
| M04-F06-01 | 流程监控 | 跟踪 | 流程图实时高亮、流转记录、耗时分析、流程干预 | 🟦 |
| M04-F07-01 | 流程规则 | 条件表达式 | 分支条件表达式、超时处理、自动审批/自动通过规则（P58 已实现受控条件表达式与条件分支；超时处理、自动审批/自动通过规则未实现，P35 部分实现、未核销） | 🟦 |
| M04-F08-01 | 可插拔机制 | 节点/组件/adapter 可插拔 | BPM 前端节点组件与表单控件组件、后端对应 adapter/节点处理逻辑均改为注册表驱动的可插拔形式：新增节点类型或表单控件时零改消费方代码（仿 form 模块 FIELD_TYPE_REGISTRY 与 NodeApproverResolver Map 分发样板） | ✅ |
| M05-F01-01 | 消息收发 | 发送 | 站内信发送，支持指定人/部门/角色（2026-08-27 阶段三终态同步完成） | ✅ |
| M05-F01-02 | 消息收发 | 接收 | 站内信接收、已读/未读标记、删除（D210功能级PASSED） | ✅ |
| M05-F01-03 | 消息收发 | 查询 | 按状态、关键字查询站内信（D210功能级PASSED） | ✅ |
| M05-F02-01 | 消息模板 | 维护 | 站内信模板维护，变量占位符替换（P36 已核销，2026-08-26：模板 CRUD/启停/删除/预览/发送，`${变量名}` 简单占位符，缺失变量或模板不可用落库前拒绝，历史通知保存渲染结果，租户隔离+管理权限+前端页面+Mock+双方言迁移 V38） | ✅ |
| M06-F01-01 | 通知渠道 | 渠道配置 | 站内信/邮件/短信/微信/企业微信/钉钉等渠道接入与开关（P58 已实现站内信、统一渠道 SPI 及已验收扩展接缝；真实厂商渠道、配置开关及账号联调未实现，P37 部分实现、未核销） | 🟦 |
| M06-F02-01 | 通知模板 | 维护 | 通知模板维护，按渠道配置内容与变量（可复用通用消息模板与变量渲染已实现，P36 已核销；按渠道配置内容与变量未实现，P38 部分实现、未核销、不新编号） | 🟦 |
| M06-F03-01 | 通知规则 | 触发配置 | 业务事件触发规则配置、用户订阅设置（P58 已实现内置审批事件与通知节点触发；用户可配置规则、订阅设置未实现，P39 部分实现、未核销） | 🟦 |
| M06-F04-01 | 发送记录 | 记录查询 | 发送日志、状态查询、失败重发（✅ 2026-09-07 v0.0.2-oa A6：通知发送记录查询/状态时间接收人筛选、单发与批量失败子记录、有权限的失败重发（防重复/冷却）、关联日志入口已交付，覆盖本明细完整描述；P3 已核销，I45 保持开放） | ✅ |
| M07-F01-01 | 大模型管理 | 模型接入 | 新增大模型，配置 API 地址、API Key、模型名称、协议类型（OpenAI 兼容/Ollama/其他） | ✅ |
| M07-F01-02 | 大模型管理 | 动态装载 | 运行时热加载/卸载模型与 Key，配置变更无需重启服务（动态装载=配置变更后下次调用即时生效，无显式加载/卸载 API） | ✅ |
| M07-F01-03 | 大模型管理 | 参数配置 | temperature、max_tokens、top_p、超时、重试等参数配置 | ✅ |
| M07-F01-04 | 大模型管理 | 密钥管理 | API Key 加密存储、多 Key 轮询、额度/限流管理 | ✅ |
| M07-F01-05 | 大模型管理 | 连通性测试 | 在线测试模型可用性与响应 | ✅ |
| M07-F02-01 | 调度图编排 | 图设计器 | 可视化拖拽编排调度图：LLM 节点、工具节点、条件分支、并行、循环节点 | ✅ |
| M07-F02-02 | 调度图编排 | 节点配置 | 节点 Prompt 配置（D154功能级PASSED + D157阶段三最终复验PASSED；后端723/agent234、前端79f/775t、V34零迁移） | ✅ |
| M07-F02-03 | 调度图编排 | 图管理 | 调度图新增/修改/删除/查询、发布、版本管理 | ✅ |
| M07-F02-04 | 调度图编排 | 调试运行 | 运行日志查看 ✅ + 单步调试 ✅（D175—D180 全链闭环：调试会话/断点/步进/引擎/安全性/既有入口闭环，D180 规划层最终验收 15/15 PASSED，2026-08-23） | ✅ |
| M07-F03-01 | 智能助手 | 助手配置 | 新增助手，绑定调度图/模型、设定角色 Prompt、开场白 | ⬜ |
| M07-F03-02 | 智能助手 | 工具/函数调用 | 注册并配置 Function Calling 工具，供调度图节点调用（P48 已核销，D203 12/12 PASSED） | ✅ |
| M07-F03-03 | 智能助手 | 知识库 | 知识库文档上传、向量化、RAG 检索配置（如适用） | ⬜ |
| M07-F04-01 | 对话交互 | 对话窗口 | 对话窗口，SSE 流式输出、上下文记忆 | ⬜ |
| M07-F04-02 | 对话交互 | 会话管理 | 历史会话、Token 统计、调用日志审计（D170功能级PASSED，标准1—12通过；后端755/agent267、前端82f/815t、V35；P8核销，阶段三已同步待规划最终复验） | ✅ |
| M08-F01-01 | 接入配置 | 原生MQTT配置 | 每台硬件自定义 MQTT 连接信息：Broker 地址、端口、ClientId、用户名、密码、QoS、SSL/TLS、心跳（✅ 2026-09-08 p21-iot-device-access 第 44 个正式功能：原生 MQTT 双通道配置，账号口令加密存储、脱敏展示） | ✅ |
| M08-F01-02 | 接入配置 | 腾讯IoT配置 | 每台硬件自定义腾讯 IoT 参数：ProductId、DeviceName、DeviceSecret、Region 及其他参数（✅ 2026-09-08：全局 Provider 配置＋每设备 DeviceSecret 已交付；真实账号/RequestId/物理设备按 Owner 本轮免验，不写成实网已验证） | ✅ |
| M08-F01-03 | 接入配置 | 连接管理 | 连接/断开、连接状态监控、断线自动重连（✅ 2026-09-08 已交付） | ✅ |
| M08-F02-01 | 设备管理 | 设备维护 | 设备/产品新增、修改、删除、查询、分组（✅ 2026-09-08：设备/产品新增/修改/删除/注销/查询/分组已交付；生命周期与连接状态分离） | ✅ |
| M08-F02-02 | 设备管理 | 状态监控 | 设备在线/离线监控、心跳检测、最后上报时间（✅ 2026-09-08：在线/离线监控、心跳检测、最后上报时间已交付） | ✅ |
| M08-F03-01 | Topic管理 | 订阅 | 自定义 Topic 订阅/取消订阅，支持通配符与 QoS（✅ 2026-09-08：订阅/取消订阅、通配符与 QoS、订阅恢复/去重已交付） | ✅ |
| M08-F03-02 | Topic管理 | 发布配置 | 自定义发布 Topic 与 Payload 模板（✅ 2026-09-08：发布 Topic 与 Payload 模板、模板变量/retain/物模型映射已交付） | ✅ |
| M08-F04-01 | 消息控制 | 按钮发送 | 手动按钮触发下发指令，自定义 Payload（🟦 保持 2026-09-08：已交付命令下发、流程触发和受控重试；不扩称为任意 Payload 的独立手动按钮完整能力，前端按钮未做） | 🟦 |
| M08-F04-02 | 消息控制 | 定时发送 | Cron 定时任务下发指令，支持启停（⬜ 保持：Cron 定时发送不在 P21 本轮方向） | ⬜ |
| M08-F04-03 | 消息控制 | 数据上报 | 接收设备上报数据，解析、存储与展示（✅ 2026-09-08：上报接收、解析、存储与展示已交付） | ✅ |
| M08-F04-04 | 消息控制 | 消息日志 | 上行/下行消息记录与查询（✅ 2026-09-08：上行/下行消息记录与查询已交付） | ✅ |
| M08-F05-01 | 硬件编排 | 规则编排 | 场景联动：条件触发动作（如 A 上报触发 B 下发），规则新增/修改/删除/启停（✅ 2026-09-08：场景联动规则编排、规则新增/修改/删除/启停已交付） | ✅ |
| M08-F05-02 | 硬件编排 | 指令模板 | 下发指令 Payload 模板管理，变量替换（⬜ 保持：Topic/规则/流程参数映射不扩称为独立指令模板管理） | ⬜ |
| M09-F01-01 | 应用管理 | 应用维护 | 创建第三方应用，生成 AppKey/AppSecret，新增/修改/删除/查询、启用/停用 | ⬜ |
| M09-F02-01 | 接口授权 | 权限范围 | 按应用授权可调用的接口范围（组织/流程/表单/IoT/AI 等），最小权限控制 | ⬜ |
| M09-F03-01 | 鉴权认证 | 签名鉴权 | 请求签名校验、AccessToken 获取与刷新、时间戳/防重放 | ⬜ |
| M09-F03-02 | 鉴权认证 | 访问控制 | IP 白名单、应用级开关 | ⬜ |
| M09-F04-01 | 流量控制 | 限流配额 | QPS 限流、日/月调用量配额、超限熔断 | ⬜ |
| M09-F05-01 | 回调通知 | Webhook | 事件订阅、回调地址配置、签名校验、失败重试 | ⬜ |
| M09-F06-01 | 接口文档 | 在线文档 | OpenAPI/Swagger 在线文档与在线调试 | 🟦 |
| M09-F07-01 | 调用日志 | 日志监控 | 接口调用记录、耗时/成功率统计、异常告警 | ⬜ |
| M10-F01-01 | 系统监控 | 运行监控 | 服务器、JVM、Redis、在线用户监控（缺口已登记 P49） | 🟦 |
| M10-F02-01 | 日志管理 | 日志查询 | 操作日志、登录日志、异常日志查询（缺口已登记 P40） | ⬜ |
| M10-F02-02 | 日志管理 | 动态日志级别 | 后台 logger-manager.html 页面，可根据类的全路径自由设置日志级别（如动态将 `com.sw.ck.bpm` 调至 DEBUG），无需重启服务（缺口已登记 P41） | ⬜ |
| M10-F03-01 | 定时任务 | 任务调度 | 定时任务管理、Cron 配置、执行记录 | ✅ |
| M10-F04-01 | 数据字典 | 字典维护 | 数据字典分类与字典项维护 | ✅ |
| M10-F05-01 | 参数配置 | 系统参数 | 系统参数/全局配置维护（缺口已登记 P42） | ⬜ |
| M10-F06-01 | 文件管理 | 文件存储 | 文件上传、本地/OSS/MinIO 存储配置 | ✅ |
| M10-F07-01 | 数据备份 | 备份恢复 | 数据备份与恢复（缺口已登记 P43） | ⬜ |
| M10-F08-01 | 接口管理 | API管理 | 接口文档、接口调用监控（缺口已登记 P50） | 🟦 |
