feature_no	dir_key	nature	evidence_pointer	mapping_P_M_I_range	registration	registration_exists	completion_date	status
28	agent-graph-prompt-configuration	正式功能第 28 个	product/agent-graph-prompt-configuration/passed/ + product/agent-graph-prompt-configuration/receipts/planning-stage3-review-d157.md	P6 核销；M07-F02-02 ✅	knowledge/features/agent-graph-prompt-configuration.md	true	见证据指针	COMPLETED（历史链）
29	agent-token-usage-observability	正式功能第 29 个	product/agent-token-usage-observability/passed/ + product/agent-token-usage-observability/receipts/planning-final-review-d174.md	P8 核销；M07-F04-02 ✅	knowledge/features/agent-token-usage-observability.md	true	见证据指针	COMPLETED（历史链）
30	agent-graph-step-debugging	正式功能第 30 个	product/agent-graph-step-debugging/passed/ + product/agent-graph-step-debugging/receipts/planning-terminal-final-review-d183.md	P7 单步调试子集（D180）；M07-F02-04 ✅	knowledge/features/agent-graph-step-debugging.md	true	见证据指针	COMPLETED（历史链）
31	agent-tool-configuration-frontend	正式功能第 31 个	product/agent-tool-configuration-frontend/passed/ + product/agent-tool-configuration-frontend/receipts/planning-final-review-d203.md	P48 核销；M07-F03-02 ✅	knowledge/features/agent-tool-configuration-frontend.md	true	见证据指针	COMPLETED（历史链）
32	notify-management-closure	正式功能第 32 个	product/notify-management-closure/passed/ + product/notify-management-closure/receipts/planning-terminal-final-review-d212.md	P3 子集/I41/I42 关；M05-F01-02/03 ✅	knowledge/features/notify-management-closure.md	true	见证据指针	COMPLETED（历史链）
33	notify-template-management	正式功能第 33 个	product/notify-template-management/passed/ + product/notify-template-management/receipts/planning-terminal-final-review-20260826.md	P36 核销；M05-F02-01 ✅	knowledge/features/notify-template-management.md	true	见证据指针	COMPLETED（历史链）
34	notify-batch-send	正式功能第 34 个	product/notify-batch-send/passed/ + product/notify-batch-send/receipts/planning-terminal-final-review-20260827.md	P3 子集（U1/U2 核销）；M05-F01-01 ✅	knowledge/features/notify-batch-send.md	true	见证据指针	COMPLETED（历史链）
35	minimal-business-closure	正式功能第 35 个	product/minimal-business-closure/passed/ + product/minimal-business-closure/receipts/planning-terminal-final-review-20260828.md + product/minimal-business-closure/receipts/planning-status-correction-owner-formal-feature-20260828.md	Owner 正式功能；M08 五行🟦部分完成不虚报；P21 部分关闭边界	knowledge/features/minimal-business-closure.md	true	见证据指针	COMPLETED（历史链）
36	form-data-import-export	正式功能第 36 个	product/form-data-import-export/passed/ + product/form-data-import-export/receipts/planning-terminal-final-review-20260829.md	P32 核销；M03-F04-02 ✅	knowledge/features/form-data-import-export.md	true	见证据指针	COMPLETED（历史链）
37	p45-login-security	正式功能第 37 个	product/p45-login-security/passed/ + product/p45-login-security/receipts/planning-terminal-final-review-p45-20260901.md	P45 核销；M02-F06-01 ✅	knowledge/features/p45-login-security.md	true	见证据指针	COMPLETED（历史链）
38	p52-form-workbench	正式功能第 38 个	product/p52-form-workbench/passed/ + product/p52-form-workbench/receipts/planning-terminal-final-review-p52-form-workbench-20260902.md	P52 核销；不对应既有明细	knowledge/features/p52-form-workbench.md	true	见证据指针	COMPLETED（历史链）
39	p56-form-grid-layout	正式功能第 39 个	product/p56-form-grid-layout/passed/ + product/p56-form-grid-layout/receipts/planning-final-review-p56-stage3-20260902.md	P56 核销 + P46 一并核销；M03-F01-01 ✅	knowledge/features/p56-form-grid-layout.md	true	见证据指针	COMPLETED（历史链）
40	p57-bpm-node-extension	正式功能第 40 个	product/p57-bpm-node-extension/passed/ + product/p57-bpm-node-extension/receipts/planning-final-review-p57-terminal-sync-02-passed.md	P57 核销；不对应既有明细	knowledge/features/p57-bpm-node-extension.md	true	见证据指针	COMPLETED（历史链）
41	p58-workflow-node-capabilities	正式功能第 41 个	product/p58-workflow-node-capabilities/passed/ + product/p58-workflow-node-capabilities/receipts/planning-final-review-p58-terminal-sync-01-passed.md	P58 核销；五行对应清单项由本轮对账登记 🟦（P34/P35/P37/P38/P39）	knowledge/features/p58-workflow-node-capabilities.md	true	见证据指针	COMPLETED（历史链）
42	p4-oa-personal-center-dual-dispatch	正式功能第 42 个（功能状态 COMPLETED（规划已确认，2026-09-07））	product/p4-oa-personal-center-dual-dispatch/passed/ + product/p4-oa-personal-center-dual-dispatch/receipts/planning-final-review-terminal-sync-p4-02-passed.md	P4 本轮子集；M04-F05-01 ✅（P4 总项仍开放未核销：转办/委托/加签/撤回、流程版本/挂起激活等候选）	knowledge/features/p4-oa-personal-center-dual-dispatch.md	true	2026-09-07	COMPLETED（规划已确认，2026-09-07）
43	v0.0.2-oa	正式功能第 43 个（功能状态 COMPLETED（规划已确认，2026-09-07））	product/v0.0.2-oa/passed/ + product/v0.0.2-oa/receipts/planning-final-review-terminal-sync-v0.0.2-oa-03-passed.md	A1—A8 交付：M04-F05-01、M06-F04-01 两行 🟦→✅；P3/P54/P55 核销，P2/P4 开放部分实现未核销	knowledge/features/v0.0.2-oa.md	true	2026-09-07	COMPLETED（规划已确认，2026-09-07）
44	p21-iot-device-access	正式功能第 44 个（功能状态 COMPLETED（规划已确认，2026-09-08））	product/p21-iot-device-access/passed/ + product/p21-iot-device-access/receipts/planning-final-review-terminal-sync-p21-iot-02-passed.md	P21 核销；M08 十行 ⬜/🟦→✅（F01-01/02/03、F02-01/02、F03-01/02、F04-03/04、F05-01）；F04-01 保持 🟦、F04-02/F05-02 保持 ⬜；I14 已满足/关闭	knowledge/features/p21-iot-device-access.md	true	2026-09-08	COMPLETED（规划已确认，2026-09-08）
