类型	序号	模块	类与位置(file:line，相对 server 仓根)	用途	裸语句数	表名校验	列名校验	tenant/deleted 条件	参数绑定	结论或引文
CLASS	C11	sw-bootstrap	com/sw/ck/bootstrap/verify/BpmVerificationRunner.java:29,34	dev 启动验证	1（L65）	固定字面量	N/A	N/A	? 绑定	@Profile("dev")
CLASS	C12	sw-bootstrap	com/sw/ck/bootstrap/verify/VerificationRunner.java:35,63（new JdbcTemplate(dataSource)）	dev 启动验证（@DS/租户）	3（L68/L69/L94）	固定字面量	N/A	N/A	? 绑定	@Profile("dev")
CLASS	C13	sw-bpm-engine	com/sw/ck/bpm/engine/datasource/ExternalDatasourceManager.java:62-63	外部池连通性探测（原生 JDBC，非 JdbcTemplate）	1	固定字面量	N/A	N/A	无	conn.createStatement().executeQuery("SELECT 1")
GAP	G1	sw-biz-form-biz	FormSubmitService.java:331-335、:411、:639-645	主表与子表 INSERT 的表名仅做非空校验，类内无 TABLE_NAME_PATTERN	-	缺校验	physicalColumnName 已过	手写	? 绑定	"INSERT INTO \"" + tableName + "\" (" + quotedCols + ") VALUES (" + placeholders + ")"（L639-645）——表名来自已发布元数据，非请求参数，属纵深防御缺口
GAP	G2	sw-biz-form-biz	FormFieldEnrichmentService.java:304-306	写入期引用目标存在性校验	-	缺校验	固定列	手写	? 绑定	"SELECT COUNT(*) FROM \"" + target.getPhysicalTableName() + "\" WHERE \"id\" = ? AND \"deleted\" = 0 AND \"tenant_id\" = ?"
GAP	G3	sw-biz-form-biz	FormImportExportService.java:427-429	导入引用校验	-	缺校验	固定列	手写	? 绑定	"SELECT COUNT(*) FROM \"" + targetDef.getPhysicalTableName() + "\" WHERE \"id\" = ? AND \"deleted\" = 0 AND \"tenant_id\" = ?"
GAP	G4	sw-biz-form-biz	FormImportExportService.java:741-742	导出子表读取	-	缺校验	由 definition 派生	手写	? 绑定	"SELECT " + columns + " FROM \"" + subTableName + "\" WHERE \"parent_record_id\" = ? AND \"deleted\" = 0 AND \"tenant_id\" = ?"
GAP	G5	sw-biz-form-biz	FormImportExportService.java:792、:803-804	REFERENCE 显示值解析	-	缺校验	完全绕过（displayCol = f.get("name").asText()）	手写	? 绑定	"SELECT \"id\", \"" + displayCol + "\" FROM \"" + targetDef.getPhysicalTableName() + "\" WHERE ..."
GAP	G6	sw-bpm-process	BpmUrgeServiceImpl.java:233	催办并发串行化	-	N/A	N/A	缺 tenant_id 与 deleted（有意绕过拦截器）	? 绑定	"SELECT id FROM sw_bpm_instance WHERE id = ? FOR UPDATE"——全仓唯一 FOR UPDATE；按主键等值 + 行锁语义，且同行有 JVM ReentrantLock
GAP	G7	sw-basic-notify-biz	P58DebugNotifyController.java:79	dev 计数	-	拼接（调用点传字面量，当前不可注入）	N/A	缺 deleted	? 绑定	"SELECT COUNT(*) FROM " + table + " WHERE tenant_id = ?"；@Profile("dev")
GAP	G8	sw-biz-form-biz	FormDataDeleteService.java:153-155	RESTRICT 反查需跨租户读 sw_form_config	-	后续 refTableName 有 TABLE_NAME_PATTERN（L166）	后续列名有 validateColumnName（L187-188）	有意缺 tenant_id（固定元数据表，非动态宽表）	无参数	"SELECT table_name, definition FROM sw_form_config WHERE deleted = 0 AND table_name IS NOT NULL"（代码注释：穿透租户拦截器）
GAP	G9a	sw-biz-form-biz	FormDataDeleteService.java:156-159	元数据扫描失败	-	-	-	-	-	catch(Exception) → log.warn + return，注释「元数据表不可用时放行（不阻塞删除）」⇒ RESTRICT 校验整体 fail-open
GAP	G9b	sw-biz-form-biz	FormDataDeleteService.java:213-217	单个引用表检查失败	-	-	-	-	-	catch(Exception) → log.warn + continue，注释「查询失败放行，不阻塞删除」⇒ 单表 fail-open
GAP	G10	sw-biz-form-biz	FormDataQueryService.java:451-475	死代码 ensureDeletedColumn	1	缺校验	-	-	-	"ALTER TABLE \"" + tableName + "\" ADD COLUMN \"deleted\" SMALLINT NOT NULL DEFAULT 0"（L466-468）；grep 无调用者
GAP	G11	sw-biz-form-biz	DynamicTableManager.java:139-212、:225-241	DDL 辅助方法自身不校验	-	addColumn 信任入参表名	无	-	-	安全依赖 FormDefServiceImpl 的手工校验；validateColumnName 委托（L108-110）0 调用者
GAP	G12	sw-biz-form-biz	FormDataQueryService.java:482-528（及 Update/Submit 经 FormFieldValidator）	运行期列名来自重读 sw_form_config.definition JSON	-	-	physicalColumnName 仅做名称映射，无正则/黑名单	-	-	校验属发布期手写（FormDefServiceImpl:948-950），非 SQL 构造期强制；元数据被越权写入或历史遗留数据可绕过
RULE	R1	sw-biz-form-biz	ColumnValidation.java:44（长度上限 L34=63）	列名正则	-	-	COLUMN_NAME_PATTERN = ^[a-z_][a-zA-Z0-9_]*$	-	-	-
RULE	R2	sw-biz-form-biz	ColumnValidation.java:52-55、:63-81、:86	系统列与保留字	-	-	SYSTEM_COLUMN_NAMES = id/tenant_id/deleted/create_time/create_by/update_time/update_by/version；PREFIX_BLACKLIST = sys_/sw_/act_；RESERVED_WORDS 全表	-	-	-
RULE	R3	sw-biz-form-biz	ColumnValidation.java:100-139、:173-188	校验与映射职责	-	-	validateColumnName 拒绝 null/blank/>63/不匹配/系统列/黑前缀/保留字；physicalColumnName 仅把 REFERENCE 映射为 ref_{name}_id，不做任何校验	-	-	名称映射器 ≠ 校验器
RULE	R4	sw-biz-form-biz	FormDataQueryService.java:59、FormDataUpdateService.java:58、FormDataDeleteService.java:53（另 DynamicTableManager.java:92 assert）	表名正则分散	-	-	^sw_form(_table)?_[a-z][a-z0-9]{9}$ 四处字面重复，无集中常量	-	-	-
RULE	R5	sw-biz-form-biz	调用点统计	校验覆盖率	-	-	validateColumnName 4 处（FormDataDeleteService:188、FormDefServiceImpl:236/244/950）+1 死委托；physicalColumnName 14 处；validFieldTypes() 0 处	-	-	-
COUNT	K1	全仓	JdbcTemplate 使用者	12 个类（8 业务存活 + 3 @Profile("dev") + SqlExecutor 自持）	34 条裸语句（form 模块 20 存活 + 2 死代码、DDL/元数据 4、外部执行器 1、催办 1、dev 3、dev runner 4、池探测 1）	-	-	-	-	NamedParameterJdbcTemplate 0 处；Mapper XML 0 个（无 ${} 插值）；动态宽表访问未出现在 sw-biz-form 之外
